Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,0150000000000001;0,025;-0,016;-0,799999999999999;
0,002;-0,00999999999999979;0,075;-0,0162;-0,81;
0,004;-0,00999999999999979;0,125;-0,0158;-0,79;
0,006;-0,02;0,175;-0,0164;-0,82;
0,008;-0,0150000000000001;0,225;-0,0158;-0,79;
0,01;-0,0249999999999999;0,275;-0,0162;-0,81;
0,012;-0,02;0,325;-0,016;-0,8;
0,014;-0,00999999999999979;0,375;-0,0166;-0,829999999999999;
0,016;-0,0150000000000001;0,425;-0,0148;-0,739999999999998;
0,018;-0,0150000000000001;0,475;-0,017;-0,850000000000001;
0,02;-0,0150000000000001;0,525;-0,0192;-0,96;
0,022;-0,00999999999999979;0,575;-0,0278;-1,39;
0,024;-0,02;0,625;-0,0444;-2,22;
0,026;-0,0150000000000001;0,675;-0,0716000000000001;-3,58;
0,028;-0,00999999999999979;0,725;-0,1098;-5,49;
0,03;-0,0249999999999999;0,775;-0,1668;-8,34;
0,032;-0,02;0,825;-0,2424;-12,12;
0,034;-0,02;0,875;-0,342;-17,1;
0,036;-0,0150000000000001;0,925;-0,4566;-22,83;
0,038;-0,02;0,975;-0,5844;-29,22;
0,04;-0,00999999999999979;1,025;-0,711;-35,55;
0,042;-0,00999999999999979;1,075;-0,8208;-41,04;
0,044;-0,02;1,125;-0,9008;-45,04;
0,046;-0,0150000000000001;1,175;-0,952;-47,6;
0,048;-0,02;1,225;-0,9792;-48,96;
0,05;-0,02;1,275;-1,0028;-50,14;
0,052;-0,02;1,325;-1,0406;-52,03;
0,054;-0,02;1,375;-1,098;-54,9;
0,056;-0,00999999999999979;1,425;-1,1536;-57,68;
0,058;-0,0150000000000001;1,475;-1,174;-58,7;
0,06;-0,00999999999999979;1,525;-1,1538;-57,69;
0,062;-0,0150000000000001;1,575;-1,131;-56,55;
0,064;-0,0150000000000001;1,625;-1,1316;-56,58;
0,066;-0,00999999999999979;1,675;-1,156;-57,8;
0,068;-0,02;1,725;-1,174;-58,7;
0,07;-0,02;1,775;-1,176;-58,8;
0,072;-0,0249999999999999;1,825;-1,174;-58,7;
0,074;-0,0150000000000001;1,875;-1,1868;-59,34;
0,076;-0,00999999999999979;1,925;-1,1928;-59,64;
0,078;-0,0150000000000001;1,975;-1,2006;-60,03;
0,08;-0,00999999999999979;2,025;-1,2118;-60,59;
0,082;-0,00999999999999979;2,075;-1,2208;-61,04;
0,084;-0,0150000000000001;2,125;-1,2216;-61,08;
0,086;-0,02;2,175;-1,2212;-61,06;
0,088;-0,02;2,225;-1,2194;-60,97;
0,09;-0,0150000000000001;2,275;-1,22;-61;
0,092;-0,0249999999999999;2,325;-1,2198;-60,99;
0,094;-0,0150000000000001;2,375;-1,2218;-61,09;
0,096;-0,02;2,425;-1,2206;-61,03;
0,098;-0,0150000000000001;2,475;-1,2228;-61,14;
0,1;-0,0150000000000001;2,525;-1,2216;-61,08;
0,102;-0,00999999999999979;2,575;-1,2226;-61,13;
0,104;-0,00999999999999979;2,625;-1,2218;-61,09;
0,106;-0,02;2,675;-1,223;-61,15;
0,108;-0,0150000000000001;2,725;-1,2228;-61,14;
0,11;-0,0249999999999999;2,775;-1,224;-61,2;
0,112;-0,02;2,825;-1,2236;-61,18;
0,114;-0,00999999999999979;2,875;-1,2258;-61,29;
0,116;-0,0150000000000001;2,925;-1,2268;-61,34;
0,118;-0,0150000000000001;2,975;-1,2274;-61,37;
0,12;-0,0150000000000001;3,025;-1,2272;-61,36;
0,122;-0,00999999999999979;3,075;-1,214;-60,7;
0,124;-0,02;3,125;-1,1722;-58,61;
0,126;-0,0150000000000001;3,175;-1,1024;-55,12;
0,128;-0,0150000000000001;3,225;-1,0052;-50,26;
0,13;-0,0249999999999999;3,275;-0,8846;-44,23;
0,132;-0,02;3,325;-0,7422;-37,11;
0,134;-0,02;3,375;-0,5836;-29,18;
0,136;-0,0150000000000001;3,425;-0,4144;-20,72;
0,138;-0,02;3,475;-0,2392;-11,96;
0,14;-0,00999999999999979;3,525;-0,0608000000000001;-3,04;
0,142;-0,00499999999999989;3,575;0,114;5,70000000000001;
0,144;-0,0150000000000001;3,625;0,2844;14,22;
0,146;-0,0150000000000001;3,675;0,4412;22,06;
0,148;-0,02;3,725;0,5852;29,26;
0,15;-0,02;3,775;0,7126;35,63;
0,152;-0,0150000000000001;3,825;0,8224;41,12;
0,154;-0,02;3,875;0,9074;45,37;
0,156;-0,00999999999999979;3,925;0,9722;48,61;
