Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0;-0,02;0,025;-0,0172;-0,860000000000001;
0,002;-0,0150000000000001;0,075;-0,0178;-0,89;
0,004;-0,02;0,125;-0,017;-0,850000000000001;
0,006;-0,00999999999999979;0,175;-0,0172;-0,860000000000001;
0,008;-0,0150000000000001;0,225;-0,0168;-0,84;
0,01;-0,0150000000000001;0,275;-0,0174;-0,870000000000001;
0,012;-0,0150000000000001;0,325;-0,017;-0,850000000000001;
0,014;-0,02;0,375;-0,0176;-0,879999999999999;
0,016;-0,02;0,425;-0,016;-0,800000000000001;
0,018;-0,0249999999999999;0,475;-0,0178;-0,89;
0,02;-0,02;0,525;-0,0238;-1,19;
0,022;-0,0150000000000001;0,575;-0,0350000000000001;-1,75;
0,024;-0,02;0,625;-0,0528;-2,64;
0,026;-0,00999999999999979;0,675;-0,0902000000000001;-4,51000000000001;
0,028;-0,0150000000000001;0,725;-0,1534;-7,67;
0,03;-0,0150000000000001;0,775;-0,2448;-12,24;
0,032;-0,02;0,825;-0,3566;-17,83;
0,034;-0,02;0,875;-0,4774;-23,87;
0,036;-0,02;0,925;-0,6016;-30,08;
0,038;-0,0249999999999999;0,975;-0,7202;-36,01;
0,04;-0,0150000000000001;1,025;-0,825;-41,25;
0,042;-0,02;1,075;-0,9148;-45,74;
0,044;-0,02;1,125;-0,9812;-49,06;
0,046;-0,00499999999999989;1,175;-1,0268;-51,34;
0,048;-0,0150000000000001;1,225;-1,0556;-52,78;
0,05;-0,0150000000000001;1,275;-1,0848;-54,24;
0,052;-0,02;1,325;-1,1228;-56,14;
0,054;-0,0150000000000001;1,375;-1,1742;-58,71;
0,056;-0,0249999999999999;1,425;-1,22;-61;
0,058;-0,0249999999999999;1,475;-1,2374;-61,87;
0,06;-0,0150000000000001;1,525;-1,2224;-61,12;
0,062;-0,02;1,575;-1,2094;-60,47;
0,064;-0,0150000000000001;1,625;-1,2078;-60,39;
0,066;-0,0150000000000001;1,675;-1,2202;-61,01;
0,068;-0,00999999999999979;1,725;-1,229;-61,45;
0,07;-0,00999999999999979;1,775;-1,2296;-61,48;
0,072;-0,02;1,825;-1,2258;-61,29;
0,074;-0,0150000000000001;1,875;-1,227;-61,35;
0,076;-0,0249999999999999;1,925;-1,2258;-61,29;
0,078;-0,02;1,975;-1,227;-61,35;
0,08;-0,0249999999999999;2,025;-1,2254;-61,27;
0,082;-0,02;2,075;-1,227;-61,35;
0,084;-0,0150000000000001;2,125;-1,2254;-61,27;
0,086;-0,0150000000000001;2,175;-1,2262;-61,31;
0,088;-0,00999999999999979;2,225;-1,2252;-61,26;
0,09;-0,02;2,275;-1,2102;-60,51;
0,092;-0,02;2,325;-1,1676;-58,38;
0,094;-0,00999999999999979;2,375;-1,1028;-55,14;
0,096;-0,0249999999999999;2,425;-1,0142;-50,71;
